hostname,DevicePath,FullPath,Drive,FilePath,FileName,FileExtension,Username,SecurityID,SecurityType,SizeInBytes,Created,Modified,Accessed,Changed,FilenameCreated,FilenameModified,FilenameAccessed,FilenameChanged,FileAttributes,INode,Md5sum,Sha1sum,Sha256sum
win7-hx-api-mb,\Device\HarddiskVolume2,C:\Program Files (x86)\Windows NT\TableTextService\TableTextServiceDaYi.txt,C,Program Files (x86)\Windows NT\TableTextService,TableTextServiceDaYi.txt,txt,NT SERVICE\TrustedInstaller,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SidTypeWellKnownGroup,980102,2009-06-10T21:43:18Z,2009-06-10T21:43:18Z,2009-06-10T21:43:18Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,Archive,14749,70d03873d0d0d75abd3bbe87e0798eef,9f6b47cc6e905d9456191af348161b4ff6d2bfde,7a73191893e75185e3975bee3f071ba4233953e3e517145fff8d96b5816eb727
win7-hx-api-mb,\Device\HarddiskVolume2,C:\Program Files (x86)\Windows NT\TableTextService\TableTextServiceSimplifiedQuanPin.txt,C,Program Files (x86)\Windows NT\TableTextService,TableTextServiceSimplifiedQuanPin.txt,txt,NT SERVICE\TrustedInstaller,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SidTypeWellKnownGroup,1665878,2009-07-13T21:38:37Z,2009-06-10T21:43:19Z,2009-07-13T21:38:37Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,Archive,14751,532ed87bb64cf19c58ae0f91fa439983,49654d38a0f731f8f29d955f536a71e170a39138,5eab43e7b5b33ccfc3b204b5683b7723d0a35313fca9c5264582dd3fe486a549
win7-hx-api-mb,\Device\HarddiskVolume2,C:\Program Files (x86)\Windows NT\TableTextService\TableTextServiceSimplifiedShuangPin.txt,C,Program Files (x86)\Windows NT\TableTextService,TableTextServiceSimplifiedShuangPin.txt,txt,NT SERVICE\TrustedInstaller,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SidTypeWellKnownGroup,1445430,2009-07-13T21:38:37Z,2009-06-10T21:43:19Z,2009-07-13T21:38:37Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,Archive,14753,51b31eb324cb5c6936d7a14d49b0bd67,e604a2a56d88a5ec82bebd5f1aa69b8ede0e2842,276c25e3fb00130266ddda64290c5078d363a8dcc8955d894635e4a5d47d7461
win7-hx-api-mb,\Device\HarddiskVolume2,C:\Program Files (x86)\Windows NT\TableTextService\TableTextServiceSimplifiedZhengMa.txt,C,Program Files (x86)\Windows NT\TableTextService,TableTextServiceSimplifiedZhengMa.txt,txt,NT SERVICE\TrustedInstaller,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SidTypeWellKnownGroup,1810352,2009-07-13T21:38:37Z,2009-06-10T21:43:19Z,2009-07-13T21:38:37Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,Archive,14755,6d2be04d9605c2d479e3cd205c406d7c,dfa5f9cde9ea3e9d916a289b49a8a68af041dd67,870088500e25158c618367d66299ffd301e7e559de287c434eec1810c432a6fa
win7-hx-api-mb,\Device\HarddiskVolume2,C:\Program Files (x86)\Windows NT\TableTextService\TableTextServiceYi.txt,C,Program Files (x86)\Windows NT\TableTextService,TableTextServiceYi.txt,txt,NT SERVICE\TrustedInstaller,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SidTypeWellKnownGroup,44968,2009-07-13T21:38:38Z,2009-06-10T21:43:19Z,2009-07-13T21:38:38Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,2014-05-31T04:39:46Z,Archive,14757,972692d33e684c4c6849ce03a4660c26,5065e44c92ac72148f10fa5c5e8af8f8729e95fd,d0360a84d924f6fb092d01355f16d65ecd7b9f52fcae679883eef21b2d3a3e68
win7-hx-api-mb,\Device\HarddiskVolume2,C:\ProgramData\VMware\VMware Tools\manifest.txt,C,ProgramData\VMware\VMware Tools,manifest.txt,txt,BUILTIN\Administrators,S-1-5-32-544,SidTypeAlias,4747,2017-04-17T21:03:05Z,2017-04-17T21:03:05Z,2017-04-17T21:03:05Z,2017-04-17T21:03:05Z,2017-04-17T21:03:05Z,2017-04-17T21:03:05Z,2017-04-17T21:03:05Z,2017-04-17T21:03:05Z,Archive NotContentIndexed,2126,b5c3c68fe9a9ff1ad8b409e228ee9d1c,9c612edf43b0f4efcedcddbae3559110aa072afd,6d463611fdcad52c9f17bff85cfc87f1536b94f42c16ed00b8f860aeb7818510
win7-hx-api-mb,\Device\HarddiskVolume2,C:\ProgramData\VMware\VMware Tools\Unity Filters\adobeflashcs3.txt,C,ProgramData\VMware\VMware Tools\Unity Filters,adobeflashcs3.txt,txt,NT AUTHORITY\SYSTEM,S-1-5-18,SidTypeUser,1433,2016-02-16T15:11:56Z,2016-02-16T15:11:56Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,Archive NotContentIndexed,59027,cbacdef20a0352e6b517b3b573512990,70119adce0c1a9133a1b86fb89bed024cfd83580,85a3d5de1565b83090d14b7e4bac1f85bf48f85feb2d2ae2bf3769c1b176390c
win7-hx-api-mb,\Device\HarddiskVolume2,C:\ProgramData\VMware\VMware Tools\Unity Filters\adobephotoshopcs3.txt,C,ProgramData\VMware\VMware Tools\Unity Filters,adobephotoshopcs3.txt,txt,NT AUTHORITY\SYSTEM,S-1-5-18,SidTypeUser,1712,2016-02-16T15:11:56Z,2016-02-16T15:11:56Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,Archive NotContentIndexed,59028,bea5f75cdd66cf8c554d39af4fb01a30,190d26417d0d98a33e10195f44617ff36414f68f,b2efe57b1286e3240c54d121d982f725fdf9567ac5569869769908c38420cb55
win7-hx-api-mb,\Device\HarddiskVolume2,C:\ProgramData\VMware\VMware Tools\Unity Filters\googledesktop.txt,C,ProgramData\VMware\VMware Tools\Unity Filters,googledesktop.txt,txt,NT AUTHORITY\SYSTEM,S-1-5-18,SidTypeUser,588,2016-02-16T15:11:56Z,2016-02-16T15:11:56Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,Archive NotContentIndexed,59029,6bcf98cde9bb9805e335f6e954540dee,e74cd7c886bffd8e9d52133e74f219e49971d0a3,ddd3314fcd5bf61fc9fda083b5417055c6fa5b22829d8f87ca3630cab3b03712
win7-hx-api-mb,\Device\HarddiskVolume2,C:\ProgramData\VMware\VMware Tools\Unity Filters\microsoftoffice.txt,C,ProgramData\VMware\VMware Tools\Unity Filters,microsoftoffice.txt,txt,NT AUTHORITY\SYSTEM,S-1-5-18,SidTypeUser,1265,2016-02-16T15:11:56Z,2016-02-16T15:11:56Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,2017-04-17T21:02:39Z,Archive NotContentIndexed,59031,2feb84dd81fe9acd623ed24a8b37adb9,979a98a9b7755d6be99cffee65ccd8142d442fff,b6928a3c42815c13cebeafe33d8732b998a6f35736abc51f1ce55a478b0931f3
